id,date_display,date_start,date_end,date_precision,date_basis,event_title,description,category,evidence_type,source,source_link,source_type,verification_status,claim_source_map,unconfirmed_details,claims_and_disputes,notes_limitations,additional_sources
EK-034,16 Oct 2022,2022-10-16,none,day,confirmed,Oyebanji sworn in as governor,"Biodun Oyebanji was sworn in as governor of Ekiti State on Sunday 16 October 2022, succeeding Kayode Fayemi.",Government,official_statement,Ekiti State Government: Governor Oyebanji: My Vision is for Ekiti to be a Land of Prosperity,https://www.ekitistate.gov.ng/archives/24343,Government website,Verified,Date and swearing-in: state report; state past-governors list (Fayemi's term ends 16 Oct 2022); THISDAY and Channels TV.,none,none,none,https://thisdaylive.com/index.php/2022/10/16/oyebanji-sworn-in-as-ekiti-gov-promises-prosperity-abundance | https://www.channelstv.com/2022/10/16/breaking-oyebanji-takes-oath-of-office-as-ekiti-governor
EK-039,2024 (late Aug or early Sep),2024,none,year,approximate,Udiroko festival 2024: senators donate N110 million to Ado-Ekiti,"At the 2024 Udiroko festival in Ado-Ekiti, Senate leaders donated N110 million toward the town's development and Senate President Akpabio was installed as an honorary chief.",Culture,news_report,Tribune Online: Udiroko festival 2024,https://tribuneonlineng.com/udiroko-festival-celebrating-culture-tradition-towards-devpt-of-ado-ekiti/,News outlet,Single source,none,The festival's exact date; the article is dated 6 Sep 2024.,none,none,none
EK-048,Feb 2024,2024-02,none,month,approximate,Ekiti partners Agbeyewa Farms on cassava investment,"The state government announced a partnership with Agbeyewa Farms, a Cavista Holdings subsidiary, starting with a 100-hectare cassava plantation at Ipao-Ekiti, Ikole LGA.",Agriculture,news_report,"THISDAY: Agbeyewa Farm Set to Enhance Food Security, Create Jobs in Ekiti (23 Feb 2024)",https://www.thisdaylive.com/2024/02/23/agbeyewa-farm-set-to-enhance-food-security-create-jobs-in-ekiti/,News outlet,Single source,none,The month (the article date is 23 Feb 2024). Later scale figures are not in the description.,"Reported claims: a 5,000-hectare farm (state Assembly, Guardian, Aug 2025); 1,500 hectares of cassava and 'largest cassava producer in Nigeria' (allAfrica, Feb 2025); an MoU for 100,000 hectares over ten years (Vanguard, Apr 2025). None is verified.","The state's Agriculture page also cites over $50 million in rice, cassava and dairy investments (undated).",https://guardian.ng/features/agro-care/ekiti-assembly-hails-agbeyewa-farms-says-agric-revolution-will-end-hunger-in-nigeria/ | https://allafrica.com/stories/202502280634.html | https://ekitistate.gov.ng/newsite/agriculture-and-rural-development/
EK-038,22 Feb 2024,2024-02-22,none,day,confirmed (press release date),African Development Bank announces $80 million for Ekiti Knowledge Zone,"The African Development Bank announced an $80 million commitment to the Ekiti Knowledge Zone project, including a 20-hectare green technology park and ICT training for over 19,000 young people.",Technology,official_statement,African Development Bank press release,https://www.afdb.org/en/news-and-events/press-releases/catalyzing-digital-innovation-african-development-bank-commits-80-million-ekiti-knowledge-zone-project-nigeria-68862,International organisation,Verified,none,none,none,The date is the release date; the formal board approval date may differ.,none
EK-040,Oct 2024 (day differs),2024-10,none,month,disputed,80-bed multipurpose hospital complex flagged off at EKSUTH,"Governor Oyebanji flagged off construction of an 80-bed multipurpose medical building at the Ekiti State University Teaching Hospital, Ado-Ekiti, in October 2024.",Health,official_statement,Ekiti State Government: Gov. Oyebanji Flags Off Multipurpose 80 Bed Hospital Facility At EKSUTH,https://www.ekitistate.gov.ng/?p=29579,Government website,Verified,Event and month: state report and Dubawa.,The day: the state article was posted 18 Oct 2024 and says the governor spoke 'on Thursday' (17 Oct); Dubawa says 18 Oct.,none,Completion status has not been checked.,https://dubawa.org/fact-checking-oyebanjis-election-broadcast-claims/?amp=1
EK-049,May 2025,2025-05,none,month,approximate,Ekiti receives National Sports Festival torch; sports complex and stadium works under way,Ekiti received the torch of unity for the Ogun 2025 National Sports Festival. The state said it was building a 900-seat indoor sports complex and renovating the Oluyemi Kayode Stadium in Ado-Ekiti.,Sports,official_statement,Ekiti State Government: Ekiti Receives Ogun 2025 National Sports Festival Torch Of Unity,https://www.ekitistate.gov.ng/archives/30921,Government website,Single source,none,Exact date; whether the projects were completed.,none,"Sports remains a research gap: medals, hosting rights and athlete milestones are still to be found.",https://guardian.ng/sport/echoes-from-barcelona-92-olympics-as-athletes-storm-ado-ekiti-for-afn-classics/
EK-041,Oct 2025,2025-10,none,month,approximate,NCAA approves commercial operations at Ekiti airport,The Nigerian Civil Aviation Authority granted a six-month approval for commercial operations at the Ado-Ekiti airport in early October 2025.,Infrastructure,news_report,ch-aviation: Ado Ekiti opens for first commercial flights,https://www.ch-aviation.com/news/161786-ado-ekiti-nigeria-opens-for-first-commercial-flights,News outlet,Verified,Approval and timing: ch-aviation. The state government also announced the approval (undated in the item cited).,none,none,none,https://www.ekitistate.gov.ng/archives/31871
EK-050,19-23 Nov 2025,2025-11-19,2025-11-23,range,stated_by_source,Ewi of Ado-Ekiti marks 35th coronation anniversary and 80th birthday,"Oba Rufus Adejugbe Aladesanmi III, the Ewi of Ado-Ekiti, celebrated 35 years on the throne and his 80th birthday with a five-day programme.",Culture,official_statement,"Ekiti State Government: Gov. Oyebanji Congratulates Ewi Of Ado Ekiti On 80th Birthday, 35th Coronation Anniversary",https://www.ekitistate.gov.ng/archives/32102,Government website,Verified,Anniversary and birthday: state report and Voice of Nigeria.,The 1990 start of the reign is from Wikipedia and is implied by the 35-year count.,"The governor's statement credits the Ewi with a pivotal role in the campaign for Ekiti's creation; this is a government statement, not independently verified.",none,https://von.gov.ng/nigerian-monarch-celebrates-35th-coronation-anniversary/ | https://tribuneonlineng.com/in-my-35-years-on-the-throne-i-have-united-ado-ekiti-citizens-ewi-oba-adejugbe-2/
EK-042,10 Dec 2025,2025-12-10,none,day,confirmed,First commercial flight lands at Ekiti Agro-Allied International Cargo Airport,"United Nigeria Airlines operated the first commercial flight to the airport, connecting Ado-Ekiti with Abuja and Lagos.",Infrastructure,news_report,TheCable: Ekiti airport begins commercial flight operations,https://www.thecable.ng/ekiti-airport-begins-commercial-flight-operations/,News outlet,Verified,"Flight and date: TheCable, ch-aviation and Daily Trust.",none,The state says it spent about N49.77 billion directly on the project (TheCable); this figure is the state's own.,none,https://www.ch-aviation.com/news/161786-ado-ekiti-nigeria-opens-for-first-commercial-flights | https://dailytrust.com/first-commercial-flight-lands-at-ekiti-airport/
EK-043,9 Jun 2026,2026-06-09,none,day,confirmed,Sod turned for Ekiti Knowledge Zone,"Vice President Kashim Shettima, representing President Tinubu, turned the sod for the Ekiti Knowledge Zone at Ago Araromi, Ado-Ekiti, on Tuesday 9 June 2026.",Technology,official_statement,"Ekiti State Government: Ekiti Knowledge Zone 'll Be Nigeria's Innovation, Job Creation Hub",https://www.ekitistate.gov.ng/archives/33184,Government website,Verified,"Event and 'Tuesday': state report. Date: THISDAY and Nigeria Startup Act report, both dated 9 Jun 2026.",none,"The state projects up to 100,000 jobs; this is a government forecast.",none,https://www.thisdaylive.com/2026/06/09/ekz-sod-turning-confirms-states-rise-as-innovation-hub-oyebimpe-rukiat-bello/ | https://www.nigeriastartupact.ng/ekiti-to-create-100000-jobs-under-new-knowledge-zone-project/
EK-044,20-21 Jun 2026,2026-06-20,2026-06-21,range,confirmed (election day 20 Jun; declaration at about 3:13 a.m. on Sunday 21 Jun),Oyebanji declared winner of governorship election,"The governorship election was held on 20 June 2026. At about 3:13 a.m. on Sunday 21 June, INEC's State Returning Officer, Prof. Adenike Oladiji, declared Biodun Oyebanji (APC) the winner with 319,224 votes, against 40,543 for Wole Oluyede (PDP) and 12,872 for Dare Bejide (ADC). The announced totals were 384,940 accredited voters, 375,777 valid votes, 6,332 rejected votes and 382,109 votes cast.",Government,news_report,"Channels TV: INEC declares APC's Oyebanji winner of Ekiti governorship election (updated, 21 Jun 2026)",https://www.channelstv.com/2026/06/21/inec-declares-apcs-oyebanji-winner-of-ekiti-gov-election/,News outlet,Needs primary source,"Declaration, time, Returning Officer and all totals: Channels TV, Vanguard and Daily Trust. Full party table: ThisDay live updates and a Channels Television results graphic (data source INEC). Check: the 15 party totals in that table add up to 375,777 only if the PDP total is 40,543, and valid plus rejected votes equal the 382,109 votes cast.","INEC's own declaration document (Form EC8E or INEC's declaration post) has not been read, so the result stays marked as awaiting a primary record even though the reporting is consistent. The PDP total is printed as 40,533 by The Whistler and Premium Times; the arithmetic above shows 40,543 is the consistent figure, so 40,533 is almost certainly a typographical error. Other slips: Vanguard labels the ADC candidate ADP, TVC News gives 375,778 valid votes, and one Premium Times item prints the ADC total as 2,872. The reported win in all 16 LGAs (Premium Times, allAfrica) is not in the description; INEC's LGA table has not been read.","Reported claims, not findings: the ADC candidate alleged irregularities and Oyebanji rejected the claim (Channels TV); observers' concerns about vote-buying and intimidation were reported by Legit.ng and Dataphyte; Yiaga Africa's observation mission raised concerns about the consistency of materials INEC deployed after late candidate-list changes (Channels TV). A pre-election challenge to his APC nomination was dismissed by the Supreme Court (Legit.ng, 24 Jul 2026). Characterisation by media: Premium Times (22 Jun 2026) calls him the first Ekiti governor to secure consecutive re-election, and allAfrica (22 Jun 2026) says he is the first governor re-elected back to back since the state's creation; Dataphyte (19 Jun 2026) notes that no incumbent had won a second consecutive term. Before the vote, Legit.ng and allAfrica (19 Jun) said no incumbent had won re-election since the 1999 return to elected government and that Adebayo, the first governor, served a single term. Premium Times adds that Fayose and Fayemi each served two non-consecutive terms. None of this is an INEC statement.","Media characterisations are attributed, not adopted. Our own tenure list raises no contradiction, but that is a sanity check, not a source. Registered-voter figures differ: 988,251 in the results graphic and The Whistler, against about 1.06 million in pre-election reports (Dataphyte); not used. The researcher also viewed a Channels Television Facebook results graphic ('Final Results of Ekiti Guber Election 2026', data source INEC); share link https://www.facebook.com/share/18RPb21jmd/ (its target could not be machine-checked).",https://dailytrust.com/inec-declares-oyebanji-winner-of-ekiti-governorship-election/ | https://www.vanguardngr.com/2026/06/inec-declares-oyebanji-winner-of-ekiti-governorship-election/ | https://www.thisdaylive.com/2026/06/21/live-updates-ekiti-governorship-election-2026/ | https://www.tvcnews.tv/breaking-apcs-oyebanji-wins-ekiti-governorship-election-with-319224-votes/ | https://saharareporters.com/2026/06/20/live-2026-ekiti-governorship-election-results-inec-collation-centre | https://www.pulse.ng/story/inec-declares-incumbent-oyebanji-winner-of-ekiti-state-governorship-election-2026062114332112894 | https://www.premiumtimesng.com/regional/ssouth-west/889497-its-official-inec-declares-apcs-oyebanji-winner-of-ekiti-governorship-election.html | https://www.premiumtimesng.com/regional/ssouth-west/889505-ekitidecides2026-oyebanji-secures-second-term-defies-ekitis-history-of-unseating-incumbents.html | https://allafrica.com/stories/202606220110.html | https://allafrica.com/stories/202606190009.html | https://www.dataphyte.com/topic/elections/ekiti-governorship-elections-2026-gov-oyebanji-secures-second-term-with-landslide-victory | https://www.dataphyte.com/topic/elections/ekiti-governorship-election-2026-the-anti-incumbency-pattern-and-apcs-current-dominance | https://thewhistler.ng/inec-declares-oyebanji-winner-of-ekiti-governorship-election/ | https://www.legit.ng/politics/1715377-ekiti-election-2026-live-update-news-latest-developments/ | https://www.legit.ng/politics/1721272-breaking-supreme-court-verdict-ekiti-governorship-election/
EK-045,2026 (Aug),2026-08,none,month,approximate,Udiroko festival 2026 celebrated in Ado-Ekiti,Ado-Ekiti celebrated the Udiroko festival in August 2026.,Culture,news_report,Channels TV: Ado-Ekiti celebrates Udiroko Festival (21 Aug 2026),https://www.channelstv.com/2026/08/21/heritage-unity-progress-on-display-as-ado-ekiti-celebrates-udiroko-festival/,News outlet,Single source,none,The exact festival date.,"Origin: tradition dates the festival to about 1310 AD under Oba Awamaro, the first Ewi (Ekiti State Government). This is a traditional account, not a documented record.",none,https://www.ekitistate.gov.ng/archives/4314
